content,star,product_id,comment_time
价格很划算，性价比高，物流也很快,5,phone,2026-07-10
价格便宜，包装完整，质量不错,5,phone,2026-07-10
优惠力度大，买得很值，发货速度快,5,phone,2026-07-10
这个价格能买到这样的质量很满意,5,phone,2026-07-10
性价比很高，做工也比较精致,5,phone,2026-07-10
价格偏贵，不太值得，包装也一般,2,phone,2026-07-10
价格太贵了，性价比不高,1,phone,2026-07-10
优惠不明显，感觉买亏了,2,phone,2026-07-10
这个价位质量一般，价格不划算,2,phone,2026-07-10
价格比别家贵，体验一般,2,phone,2026-07-10
物流很快，第二天就到了，包装完好,5,phone,2026-07-11
发货速度快，快递服务也不错,5,phone,2026-07-11
配送及时，物流信息更新很清楚,5,phone,2026-07-11
快递很快，包装严实没有破损,5,phone,2026-07-11
到货速度快，物流体验很好,5,phone,2026-07-11
发货太慢，等了很久才收到,2,phone,2026-07-11
快递包装破损，物流体验不好,1,phone,2026-07-11
配送速度慢，物流信息也不更新,2,phone,2026-07-11
发货慢，快递盒子被压坏了,1,phone,2026-07-11
物流太慢，影响使用心情,2,phone,2026-07-11
质量很好，做工精致，材质舒服,5,phone,2026-07-12
质量不错，是正品，使用很顺手,5,phone,2026-07-12
做工扎实，质感很好，值得推荐,5,phone,2026-07-12
材质耐用，质量稳定，没有异味,5,phone,2026-07-12
质量比预期好，细节处理到位,5,phone,2026-07-12
质量很差，用两天就坏了,1,phone,2026-07-12
做工粗糙，材质一般，不推荐,2,phone,2026-07-12
收到就有破损，质量太差,1,phone,2026-07-12
质量不稳定，使用体验很差,2,phone,2026-07-12
不是正品，做工差，价格还贵,1,phone,2026-07-12
包装很好，物流快，整体满意,5,phone,2026-07-13
价格合适，质量可靠，会继续购买,5,phone,2026-07-13
物流速度一般，但质量还可以,4,phone,2026-07-13
价格贵了一点，不过做工不错,4,phone,2026-07-13
包装破了，幸好商品质量没问题,3,phone,2026-07-13
发货慢，价格也不便宜，整体一般,2,phone,2026-07-13
